,UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
1681,1682,M16541,297.8,307.3,1804,26.0,222,No Failure
1682,1683,H31096,297.9,307.4,1604,36.1,225,Tool Wear Failure
1683,1684,M16543,297.9,307.4,1403,52.8,0,No Failure
1684,1685,L48864,297.8,307.3,1438,44.5,3,No Failure
1685,1686,L48865,297.9,307.3,1824,26.3,5,No Failure
1686,1687,H31100,297.9,307.3,1663,28.7,7,No Failure
1687,1688,L48867,297.9,307.3,1502,36.7,12,No Failure
1688,1689,L48868,297.9,307.4,1606,35.5,14,No Failure
1689,1690,L48869,297.9,307.5,1561,37.7,16,No Failure
1690,1691,M16550,297.9,307.4,1435,42.9,18,No Failure
1691,1692,L48871,297.9,307.5,1602,38.3,21,No Failure
1692,1693,M16552,298.1,307.6,1764,27.7,23,No Failure
1693,1694,H31107,298.0,307.5,1683,27.8,26,No Failure
1694,1695,L48874,298.0,307.5,1618,35.2,31,No Failure
1695,1696,L48875,298.0,307.6,1509,41.6,33,No Failure
1696,1697,L48876,297.9,307.6,1550,39.0,35,No Failure
1697,1698,M16557,297.9,307.6,1519,44.0,37,No Failure
1698,1699,L48878,297.9,307.6,1481,38.0,40,No Failure
1699,1700,L48879,298.1,307.7,1289,48.3,42,No Failure
1700,1701,M16560,298.0,307.6,1844,23.8,44,No Failure
1701,1702,L48881,298.0,307.7,1479,42.5,47,No Failure
1702,1703,L48882,298.0,307.7,1430,47.3,49,No Failure
1703,1704,M16563,298.1,307.8,1636,36.7,51,No Failure
1704,1705,M16564,298.1,307.8,1503,44.7,54,No Failure
1705,1706,M16565,298.1,307.8,1608,32.6,57,No Failure
1706,1707,L48886,298.2,307.8,1521,42.9,60,No Failure
1707,1708,L48887,298.2,307.8,1439,41.6,62,No Failure
1708,1709,L48888,298.2,307.8,1627,31.5,64,No Failure
1709,1710,L48889,298.2,307.8,1749,26.1,66,No Failure
1710,1711,L48890,298.2,307.8,1530,35.9,68,No Failure
1711,1712,L48891,298.2,307.8,1355,51.3,70,No Failure
1712,1713,L48892,298.3,307.9,1551,33.8,72,No Failure
1713,1714,L48893,298.2,307.8,1515,46.7,74,No Failure
1714,1715,L48894,298.2,307.8,1388,48.6,76,No Failure
1715,1716,L48895,298.2,307.8,1585,34.6,78,No Failure
1716,1717,L48896,298.1,307.7,1523,37.7,80,No Failure
1717,1718,L48897,298.2,307.6,1369,54.5,82,No Failure
1718,1719,M16578,298.2,307.7,1681,31.0,84,No Failure
1719,1720,L48899,298.2,307.7,1503,38.3,87,No Failure
1720,1721,L48900,298.2,307.7,1459,44.5,89,No Failure
1721,1722,L48901,298.2,307.7,1688,32.4,91,No Failure
1722,1723,M16582,298.2,307.7,1952,21.6,93,No Failure
1723,1724,L48903,298.2,307.8,2029,19.9,96,No Failure
1724,1725,M16584,298.3,307.8,1457,52.5,98,No Failure
1725,1726,M16585,298.3,307.8,1392,50.4,101,No Failure
1726,1727,L48906,298.3,307.8,1906,22.1,104,No Failure
1727,1728,M16587,298.3,307.7,1602,33.4,106,No Failure
1728,1729,L48908,298.3,307.7,1465,49.4,109,No Failure
1729,1730,M16589,298.3,307.7,1439,43.8,111,No Failure
1730,1731,M16590,298.3,307.8,1330,55.4,114,No Failure
1731,1732,M16591,298.3,307.9,1485,42.0,117,No Failure
1732,1733,H31146,298.4,307.9,1700,28.2,120,No Failure
1733,1734,L48913,298.4,308.0,1515,42.8,125,No Failure
1734,1735,M16594,298.5,308.1,1501,39.2,127,No Failure
1735,1736,L48915,298.4,308.0,1380,47.6,130,No Failure
1736,1737,L48916,298.4,307.9,1544,35.9,132,No Failure
1737,1738,L48917,298.4,307.9,1743,27.3,134,No Failure
1738,1739,H31152,298.4,307.9,1948,21.4,136,No Failure
1739,1740,H31153,298.5,307.9,1260,54.2,141,No Failure
1740,1741,M16600,298.5,307.9,1640,33.1,146,No Failure
1741,1742,M16601,298.5,308.0,1363,49.2,149,No Failure
1742,1743,L48922,298.5,308.0,1379,49.6,152,No Failure
1743,1744,M16603,298.5,308.0,1713,25.8,154,No Failure
1744,1745,M16604,298.5,308.0,1461,51.9,157,No Failure
1745,1746,L48925,298.5,308.0,1624,29.8,160,No Failure
1746,1747,L48926,298.4,308.0,1526,41.1,162,No Failure
1747,1748,L48927,298.4,307.9,2381,14.2,164,No Failure
1748,1749,H31162,298.4,307.7,1626,31.1,166,Random Failures
1749,1750,L48929,298.3,307.7,1576,33.8,171,No Failure
1750,1751,M16610,298.4,307.8,1617,31.6,173,No Failure
1751,1752,L48931,298.3,307.6,1942,20.6,176,No Failure
1752,1753,L48932,298.2,307.6,1492,37.2,178,No Failure
1753,1754,L48933,298.2,307.5,1470,51.3,180,No Failure
1754,1755,M16614,298.0,307.4,1463,46.5,182,No Failure
1755,1756,L48935,298.0,307.3,1424,46.5,185,No Failure
1756,1757,M16616,298.1,307.4,1363,60.1,187,No Failure
1757,1758,M16617,298.1,307.4,1335,56.2,190,No Failure
1758,1759,L48938,298.1,307.4,1608,33.9,193,No Failure
1759,1760,H31173,298.0,307.4,1606,35.2,195,No Failure
1760,1761,L48940,298.1,307.5,1684,33.1,200,No Failure
1761,1762,L48941,298.1,307.6,1950,20.3,202,No Failure
1762,1763,H31176,298.2,307.6,1460,48.6,204,No Failure
1763,1764,L48943,298.2,307.6,1511,31.0,209,Tool Wear Failure
1764,1765,H31178,298.2,307.6,1318,55.7,0,No Failure
1765,1766,L48945,298.2,307.6,1368,51.8,5,No Failure
1766,1767,M16626,298.3,307.7,1717,27.1,7,No Failure
1767,1768,M16627,298.3,307.7,1520,41.4,10,No Failure
1768,1769,M16628,298.3,307.8,1485,42.0,13,No Failure
1769,1770,L48949,298.4,307.9,1981,23.2,16,No Failure
1770,1771,H31184,298.4,307.9,1605,31.0,18,No Failure
1771,1772,L48951,298.4,307.9,1446,45.3,23,No Failure
1772,1773,L48952,298.4,308.0,1508,47.9,25,No Failure
1773,1774,L48953,298.5,308.0,1384,59.5,27,No Failure
1774,1775,M16634,298.5,308.0,1519,37.3,29,No Failure
1775,1776,L48955,298.5,308.0,1404,48.1,32,No Failure
1776,1777,L48956,298.5,308.1,1564,31.1,34,No Failure
1777,1778,H31191,298.6,308.2,1555,36.8,36,No Failure
1778,1779,L48958,298.6,308.2,1325,54.0,41,No Failure
1779,1780,M16639,298.6,308.2,1488,44.0,43,No Failure
1780,1781,L48960,298.5,308.2,1595,32.3,46,No Failure
1781,1782,L48961,298.5,308.1,1662,28.6,48,No Failure
1782,1783,L48962,298.4,308.0,1571,37.4,50,No Failure
1783,1784,H31197,298.3,308.0,1553,41.0,52,No Failure
1784,1785,L48964,298.3,308.0,2886,3.8,57,Power Failure
1785,1786,L48965,298.2,308.0,1538,38.2,59,No Failure
1786,1787,L48966,298.4,308.2,1618,33.0,61,No Failure
1787,1788,L48967,298.4,308.2,1364,45.9,63,No Failure
1788,1789,L48968,298.3,308.0,1442,47.3,65,No Failure
1789,1790,L48969,298.2,307.9,1313,67.3,67,Power Failure
1790,1791,L48970,298.2,307.9,1847,23.6,69,No Failure
1791,1792,L48971,298.1,307.8,1524,40.8,71,No Failure
1792,1793,M16652,298.1,307.7,1445,48.0,73,No Failure
1793,1794,L48973,298.1,307.8,1761,28.2,76,No Failure
1794,1795,M16654,298.1,307.8,1514,43.5,78,No Failure
1795,1796,M16655,298.1,307.7,1498,38.3,81,No Failure
1796,1797,H31210,298.1,307.6,1542,37.1,84,No Failure
1797,1798,M16657,298.0,307.6,1508,41.8,89,No Failure
1798,1799,M16658,298.0,307.5,1431,52.9,92,No Failure
1799,1800,M16659,298.0,307.5,1427,45.1,95,No Failure
1800,1801,M16660,298.0,307.5,1524,36.3,98,No Failure
1801,1802,M16661,298.0,307.5,1427,43.6,101,No Failure
1802,1803,H31216,298.1,307.6,1496,44.1,104,No Failure
1803,1804,L48983,298.1,307.7,1388,40.3,109,No Failure
1804,1805,L48984,298.1,307.7,1495,48.1,111,No Failure
1805,1806,H31219,298.1,307.7,1376,56.2,113,No Failure
1806,1807,H31220,298.0,307.6,1593,32.2,118,No Failure
1807,1808,L48987,298.0,307.6,1654,28.9,123,No Failure
1808,1809,L48988,298.1,307.7,2567,12.8,125,Power Failure
1809,1810,L48989,298.1,307.7,1767,27.0,127,No Failure
1810,1811,L48990,298.1,307.6,1364,53.8,129,No Failure
1811,1812,M16671,298.1,307.8,1569,31.2,131,No Failure
1812,1813,L48992,298.2,307.8,1476,36.8,134,No Failure
1813,1814,L48993,298.1,307.7,1479,45.0,136,No Failure
1814,1815,L48994,298.1,307.7,1650,34.1,138,No Failure
1815,1816,M16675,298.1,307.6,1565,36.3,140,No Failure
1816,1817,L48996,298.1,307.6,1460,46.5,143,No Failure
1817,1818,L48997,298.1,307.7,1664,27.6,145,No Failure
1818,1819,M16678,298.1,307.7,1435,40.9,147,No Failure
1819,1820,M16679,298.1,307.6,2066,19.2,150,No Failure
1820,1821,L49000,298.1,307.5,1493,43.7,153,No Failure
1821,1822,L49001,298.1,307.6,1354,43.3,155,No Failure
1822,1823,L49002,298.1,307.6,1488,39.4,157,No Failure
1823,1824,L49003,298.1,307.7,1414,48.7,159,No Failure
1824,1825,L49004,298.1,307.5,1391,57.4,161,No Failure
1825,1826,M16685,298.0,307.5,1784,27.8,163,No Failure
1826,1827,H31240,297.8,307.3,1516,40.1,166,No Failure
1827,1828,M16687,297.9,307.3,1420,47.8,171,No Failure
1828,1829,L49008,297.8,307.2,1351,56.3,174,No Failure
1829,1830,L49009,297.8,307.2,1880,23.0,176,No Failure
1830,1831,L49010,297.8,307.3,1859,24.0,178,No Failure
1831,1832,M16691,297.8,307.3,1315,54.0,180,No Failure
1832,1833,M16692,297.8,307.4,1330,51.7,183,No Failure
1833,1834,L49013,297.8,307.3,1327,61.0,186,Overstrain Failure
1834,1835,L49014,297.8,307.2,1498,38.1,188,No Failure
1835,1836,H31249,297.8,307.3,1555,35.8,190,No Failure
1836,1837,L49016,297.7,307.2,1518,35.8,195,No Failure
1837,1838,L49017,297.7,307.2,1392,43.0,197,No Failure
1838,1839,M16698,297.8,307.2,1456,39.6,199,No Failure
1839,1840,L49019,297.7,307.1,1715,30.2,0,No Failure
1840,1841,M16700,297.7,307.2,1405,43.7,2,No Failure
1841,1842,L49021,297.7,307.2,1668,37.8,5,No Failure
1842,1843,H31256,297.7,307.1,1855,22.5,7,No Failure
1843,1844,L49023,297.6,307.1,1496,39.2,12,No Failure
1844,1845,M16704,297.6,307.1,1471,44.9,14,No Failure
1845,1846,L49025,297.7,307.2,1444,40.0,17,No Failure
1846,1847,H31260,297.7,307.3,1514,38.6,19,No Failure
1847,1848,L49027,297.8,307.3,1412,50.7,24,No Failure
1848,1849,H31262,297.7,307.2,1429,44.1,26,No Failure
1849,1850,L49029,297.7,307.2,1668,32.7,31,No Failure
1850,1851,M16710,297.7,307.2,1372,52.8,33,No Failure
1851,1852,M16711,297.7,307.3,1365,49.2,36,No Failure
1852,1853,M16712,297.6,307.1,1526,39.1,39,No Failure
1853,1854,L49033,297.6,307.2,1486,40.6,42,No Failure
1854,1855,M16714,297.6,307.2,1470,42.6,44,No Failure
1855,1856,H31269,297.7,307.3,1249,62.8,47,No Failure
1856,1857,M16716,297.8,307.4,1752,26.1,52,No Failure
1857,1858,L49037,297.7,307.4,1643,36.5,55,No Failure
1858,1859,M16718,297.8,307.4,1488,36.1,57,No Failure
1859,1860,L49039,297.8,307.4,1355,45.8,60,No Failure
1860,1861,L49040,297.8,307.6,1607,30.3,62,No Failure
1861,1862,M16721,297.9,307.6,1609,30.3,64,No Failure
1862,1863,L49042,297.9,307.7,1517,44.4,67,No Failure
1863,1864,M16723,297.9,307.7,1517,39.5,69,No Failure
1864,1865,L49044,297.9,307.7,1546,37.6,72,No Failure
1865,1866,L49045,297.9,307.7,1567,34.7,74,No Failure
1866,1867,M16726,298.1,307.9,1662,28.9,76,No Failure
1867,1868,L49047,298.1,307.9,1502,41.8,79,No Failure
1868,1869,L49048,298.3,308.0,1361,56.9,81,No Failure
1869,1870,M16729,298.3,308.1,1630,32.7,83,No Failure
1870,1871,L49050,298.3,308.0,1486,42.3,86,No Failure
1871,1872,L49051,298.3,308.1,1840,21.5,88,No Failure
1872,1873,L49052,298.3,308.1,1326,58.4,90,No Failure
1873,1874,L49053,298.4,308.1,1367,57.8,92,No Failure
1874,1875,L49054,298.4,308.1,1598,32.7,94,No Failure
1875,1876,L49055,298.3,308.0,1363,50.1,96,No Failure
1876,1877,L49056,298.3,308.0,1242,62.0,98,No Failure
1877,1878,M16737,298.2,307.8,1566,33.8,100,No Failure
1878,1879,M16738,298.1,307.7,1424,47.7,103,No Failure
1879,1880,M16739,298.2,307.7,1608,33.8,106,No Failure
1880,1881,L49060,298.1,307.7,1705,29.1,109,No Failure
1881,1882,L49061,298.0,307.6,1548,45.8,111,No Failure
1882,1883,M16742,298.0,307.6,1581,43.4,113,No Failure
1883,1884,M16743,298.0,307.6,1472,46.7,116,No Failure
1884,1885,M16744,298.0,307.6,1792,26.0,119,No Failure
1885,1886,L49065,298.0,307.6,1683,32.8,122,No Failure
1886,1887,L49066,297.9,307.6,1503,40.7,124,No Failure
1887,1888,M16747,297.9,307.5,1642,32.4,126,No Failure
1888,1889,M16748,297.8,307.4,1902,24.3,129,No Failure
1889,1890,H31303,297.7,307.4,1432,40.2,132,No Failure
1890,1891,L49070,297.8,307.4,1512,40.8,137,No Failure
1891,1892,L49071,297.7,307.4,1764,29.0,139,No Failure
1892,1893,M16752,297.8,307.4,1438,43.6,141,No Failure
1893,1894,L49073,297.8,307.5,1631,29.9,144,No Failure
1894,1895,H31308,297.9,307.5,1880,23.3,146,No Failure
1895,1896,L49075,297.9,307.6,1344,54.3,151,No Failure
1896,1897,L49076,297.9,307.5,1574,35.8,153,No Failure
1897,1898,L49077,297.8,307.4,1418,41.2,155,No Failure
1898,1899,L49078,297.8,307.5,1372,54.1,157,No Failure
1899,1900,L49079,297.8,307.5,1388,40.0,159,No Failure
1900,1901,H31314,297.9,307.6,1493,36.0,161,No Failure
1901,1902,M16761,297.9,307.6,1505,40.1,166,No Failure
1902,1903,L49082,298.0,307.6,1694,29.1,169,No Failure
1903,1904,L49083,297.9,307.6,1968,20.4,171,No Failure
1904,1905,M16764,298.0,307.6,1569,35.6,173,No Failure
1905,1906,L49085,297.9,307.6,1687,29.1,176,No Failure
1906,1907,L49086,297.9,307.6,1430,52.4,178,No Failure
1907,1908,L49087,297.9,307.6,1504,42.4,180,No Failure
1908,1909,L49088,297.9,307.6,1977,20.2,182,No Failure
1909,1910,L49089,298.0,307.7,1435,45.6,184,No Failure
1910,1911,H31324,298.0,307.7,1547,36.8,186,No Failure
1911,1912,M16771,298.1,307.8,1316,57.2,191,No Failure
1912,1913,M16772,298.0,307.7,1621,34.9,194,No Failure
1913,1914,M16773,298.0,307.8,1492,40.2,197,No Failure
1914,1915,L49094,298.0,307.7,1643,32.3,200,No Failure
1915,1916,L49095,298.0,307.7,1492,38.7,202,No Failure
1916,1917,L49096,298.0,307.7,1387,50.8,204,No Failure
1917,1918,M16777,298.1,307.9,1463,47.3,206,No Failure
1918,1919,M16778,298.1,307.9,1496,40.0,0,No Failure
1919,1920,L49099,298.2,308.0,1658,30.0,3,No Failure
1920,1921,L49100,298.1,307.9,2161,17.5,5,No Failure
1921,1922,L49101,298.1,307.9,1665,32.0,7,No Failure
1922,1923,L49102,298.0,307.8,1716,26.6,9,No Failure
1923,1924,L49103,298.0,307.7,1529,34.1,11,No Failure
1924,1925,L49104,297.9,307.7,1353,50.7,13,No Failure
1925,1926,L49105,297.9,307.7,1537,37.7,15,No Failure
1926,1927,L49106,298.0,307.7,1606,30.8,17,No Failure
1927,1928,H31341,298.0,307.8,1314,47.8,19,No Failure
1928,1929,L49108,298.0,307.8,1623,29.9,24,No Failure
1929,1930,M16789,298.0,307.8,1483,50.9,26,No Failure
1930,1931,M16790,298.1,307.9,1569,37.0,29,No Failure
1931,1932,M16791,298.2,308.0,1969,21.7,32,No Failure
1932,1933,M16792,298.1,308.0,1686,29.3,35,No Failure
1933,1934,L49113,298.1,308.0,1638,35.1,38,No Failure
1934,1935,L49114,298.1,307.9,1698,33.3,40,No Failure
1935,1936,M16795,298.1,307.9,1377,55.1,42,No Failure
1936,1937,M16796,298.1,308.0,2129,18.4,45,No Failure
1937,1938,L49117,298.2,308.0,1411,42.4,48,No Failure
1938,1939,L49118,298.1,307.9,1517,40.8,50,No Failure
1939,1940,M16799,298.1,307.9,1303,53.9,52,No Failure
1940,1941,L49120,298.1,307.9,1578,35.6,55,No Failure
1941,1942,L49121,298.1,307.9,1425,58.2,57,No Failure
1942,1943,L49122,298.1,308.0,1456,42.4,59,No Failure
1943,1944,L49123,298.1,308.0,1704,30.9,61,No Failure
1944,1945,L49124,298.1,308.1,1791,27.3,63,No Failure
1945,1946,L49125,298.1,308.1,1616,32.8,65,No Failure
1946,1947,L49126,298.2,308.1,1622,34.9,67,No Failure
1947,1948,L49127,298.2,308.1,1462,49.9,69,No Failure
1948,1949,L49128,298.1,308.1,1410,45.8,71,No Failure
1949,1950,M16809,298.1,308.0,1543,41.9,73,No Failure
1950,1951,M16810,298.0,307.9,1479,47.6,76,No Failure
1951,1952,L49131,298.0,307.8,1839,22.7,79,No Failure
1952,1953,L49132,298.0,307.8,1266,60.5,81,No Failure
1953,1954,L49133,297.9,307.7,1593,34.9,83,No Failure
1954,1955,L49134,297.9,307.8,1459,46.9,85,No Failure
1955,1956,L49135,297.9,307.7,1308,55.2,87,No Failure
1956,1957,M16816,297.9,307.7,1364,46.8,89,No Failure
1957,1958,H31371,297.9,307.7,1618,35.9,92,No Failure
1958,1959,H31372,297.9,307.7,1464,43.2,97,No Failure
1959,1960,M16819,297.8,307.6,1352,49.4,102,No Failure
1960,1961,L49140,297.8,307.6,1446,51.4,105,No Failure
1961,1962,L49141,297.8,307.5,1448,51.2,107,No Failure
1962,1963,L49142,297.8,307.5,1391,48.6,109,No Failure
1963,1964,L49143,297.7,307.5,1379,43.3,111,No Failure
1964,1965,M16824,297.8,307.5,1405,46.9,113,No Failure
1965,1966,L49145,297.8,307.5,1581,33.1,116,No Failure
1966,1967,L49146,297.9,307.6,1515,40.5,118,No Failure
1967,1968,L49147,297.9,307.6,1589,37.8,120,No Failure
1968,1969,L49148,298.0,307.6,1281,50.8,122,No Failure
1969,1970,H31383,297.8,307.5,1631,31.3,124,No Failure
1970,1971,M16830,297.9,307.6,1202,67.0,129,No Failure
1971,1972,L49151,297.9,307.6,1298,52.7,132,No Failure
1972,1973,L49152,297.9,307.6,1612,30.7,134,No Failure
1973,1974,L49153,297.9,307.6,1747,25.3,136,No Failure
1974,1975,L49154,298.0,307.6,1450,48.7,138,No Failure
1975,1976,L49155,298.0,307.7,1422,45.6,140,No Failure
1976,1977,M16836,298.1,307.7,1419,47.4,142,No Failure
1977,1978,M16837,298.1,307.7,1633,30.7,145,No Failure
1978,1979,L49158,298.0,307.7,1442,43.6,148,No Failure
1979,1980,H31393,298.0,307.6,1420,45.8,150,No Failure
1980,1981,M16840,298.0,307.6,1301,58.5,155,No Failure
1981,1982,L49161,298.0,307.6,1385,45.0,158,No Failure
1982,1983,M16842,298.0,307.7,1487,41.3,160,No Failure
1983,1984,M16843,298.0,307.6,1459,44.4,163,No Failure
1984,1985,M16844,298.0,307.5,1387,45.5,166,No Failure
1985,1986,L49165,298.1,307.7,1537,40.8,169,No Failure
1986,1987,L49166,298.1,307.6,1498,42.9,171,No Failure
1987,1988,M16847,298.2,307.8,1599,31.2,173,No Failure
1988,1989,H31402,298.3,307.9,1420,39.2,176,No Failure
1989,1990,L49169,298.2,307.9,1785,23.4,181,No Failure
1990,1991,L49170,298.2,307.8,1423,48.1,183,No Failure
1991,1992,M16851,298.2,307.8,1583,36.6,185,No Failure
1992,1993,L49172,298.2,307.8,1375,46.6,188,No Failure
1993,1994,M16853,298.3,308.0,1463,42.5,190,No Failure
1994,1995,M16854,298.2,307.9,1403,45.1,193,No Failure
1995,1996,L49175,298.3,308.0,1451,47.1,196,No Failure
1996,1997,M16856,298.4,308.0,1416,38.2,198,Tool Wear Failure
1997,1998,L49177,298.3,308.1,1672,41.3,0,No Failure
1998,1999,H31412,298.3,308.0,1637,30.8,2,No Failure
1999,2000,L49179,298.4,308.0,1540,37.8,7,No Failure
2000,2001,L49180,298.4,308.1,1279,53.1,9,No Failure
2001,2002,L49181,298.4,308.2,1604,34.9,11,No Failure
2002,2003,L49182,298.5,308.2,1654,27.1,13,No Failure
2003,2004,M16863,298.5,308.2,1564,37.5,15,No Failure
2004,2005,L49184,298.5,308.2,1451,47.5,18,No Failure
2005,2006,L49185,298.5,308.3,1504,38.0,20,No Failure
2006,2007,M16866,298.5,308.3,1381,50.5,22,No Failure
2007,2008,L49187,298.6,308.4,1562,34.4,25,No Failure
2008,2009,L49188,298.5,308.3,1811,24.7,27,No Failure
2009,2010,M16869,298.6,308.3,1717,28.7,29,No Failure
2010,2011,L49190,298.6,308.3,1278,60.5,32,No Failure
2011,2012,L49191,298.7,308.5,1616,30.2,34,No Failure
2012,2013,L49192,298.6,308.4,1397,46.4,36,No Failure
2013,2014,L49193,298.6,308.4,1485,42.9,38,No Failure
2014,2015,L49194,298.6,308.4,1310,59.7,40,No Failure
2015,2016,L49195,298.5,308.2,1301,66.3,42,Power Failure
2016,2017,L49196,298.5,308.3,1458,44.0,44,No Failure
2017,2018,L49197,298.7,308.5,1483,42.5,46,No Failure
2018,2019,L49198,298.7,308.5,1375,46.4,48,No Failure
2019,2020,M16879,298.7,308.5,1660,27.0,50,No Failure
2020,2021,H31434,298.7,308.4,1560,33.3,53,No Failure
2021,2022,L49201,298.7,308.5,1480,42.2,58,No Failure
2022,2023,L49202,298.7,308.4,1373,46.9,60,No Failure
2023,2024,L49203,298.7,308.5,1444,54.2,62,No Failure
2024,2025,M16884,298.7,308.6,1722,24.7,64,No Failure
2025,2026,L49205,298.7,308.5,1469,39.9,67,No Failure
2026,2027,M16886,298.7,308.5,1360,52.9,69,No Failure
2027,2028,L49207,298.7,308.4,1750,25.8,72,No Failure
2028,2029,M16888,298.7,308.3,1349,46.6,74,No Failure
2029,2030,L49209,298.7,308.5,1668,35.2,77,No Failure
2030,2031,L49210,298.9,308.6,1400,49.5,79,No Failure
2031,2032,L49211,298.8,308.6,1331,62.8,81,No Failure
2032,2033,L49212,298.8,308.5,1444,42.2,83,No Failure
2033,2034,H31447,298.8,308.5,1359,47.6,85,No Failure
2034,2035,M16894,298.8,308.5,1425,47.4,90,No Failure
2035,2036,M16895,298.9,308.6,1469,34.2,93,No Failure
2036,2037,L49216,299.0,308.7,1892,22.8,96,No Failure
2037,2038,H31451,299.0,308.7,1940,19.9,98,No Failure
2038,2039,L49218,299.0,308.8,1405,55.2,103,No Failure
2039,2040,M16899,299.0,308.9,1449,39.6,105,No Failure
2040,2041,L49220,299.1,308.9,1686,29.6,108,No Failure
2041,2042,L49221,299.1,308.9,1680,27.2,110,No Failure
2042,2043,M16902,299.1,308.9,1397,52.4,112,No Failure
2043,2044,M16903,299.2,309.0,1597,30.3,115,No Failure
2044,2045,L49224,299.3,309.1,1470,41.1,118,No Failure
2045,2046,M16905,299.3,309.1,1703,31.3,120,No Failure
2046,2047,L49226,299.3,309.1,1388,45.5,123,No Failure
2047,2048,L49227,299.3,309.2,1775,24.2,125,No Failure
2048,2049,L49228,299.3,309.2,1465,41.5,127,No Failure
2049,2050,M16909,299.3,309.2,1586,37.9,129,No Failure
2050,2051,M16910,299.5,309.3,1675,29.2,132,No Failure
2051,2052,M16911,299.4,309.2,1470,44.4,135,No Failure
2052,2053,L49232,299.5,309.3,1477,40.4,138,No Failure
2053,2054,L49233,299.5,309.3,1382,61.0,140,No Failure
2054,2055,M16914,299.6,309.4,1605,29.8,142,No Failure
2055,2056,L49235,299.6,309.4,1643,32.9,145,No Failure
2056,2057,L49236,299.5,309.3,1333,54.1,147,No Failure
2057,2058,L49237,299.5,309.3,1520,42.3,149,No Failure
2058,2059,M16918,299.5,309.3,1902,24.0,151,No Failure
2059,2060,H31473,299.5,309.4,1386,44.4,154,No Failure
2060,2061,L49240,299.6,309.5,1803,27.7,159,No Failure
2061,2062,L49241,299.7,309.6,1359,50.7,161,No Failure
2062,2063,M16922,299.7,309.6,1477,42.7,163,No Failure
2063,2064,L49243,299.7,309.6,1321,53.4,166,No Failure
2064,2065,L49244,299.6,309.5,1453,41.4,168,No Failure
2065,2066,L49245,299.7,309.6,1419,45.1,170,No Failure
2066,2067,L49246,299.7,309.6,1512,36.2,172,No Failure
2067,2068,L49247,299.7,309.6,1553,36.8,174,No Failure
2068,2069,M16928,299.7,309.6,1534,39.1,176,No Failure
2069,2070,H31483,299.7,309.6,1553,41.0,179,No Failure
2070,2071,L49250,299.7,309.5,1352,49.7,184,No Failure
2071,2072,M16931,299.7,309.6,1313,60.0,186,No Failure
2072,2073,L49252,299.6,309.5,1570,35.5,189,Random Failures
2073,2074,L49253,299.6,309.4,1677,31.1,191,No Failure
2074,2075,L49254,299.5,309.4,1602,31.5,193,No Failure
2075,2076,L49255,299.5,309.4,1390,58.8,195,Overstrain Failure
2076,2077,L49256,299.4,309.3,1544,36.0,197,No Failure
2077,2078,L49257,299.4,309.4,1701,31.2,199,No Failure
2078,2079,M16938,299.4,309.3,1692,28.4,201,No Failure
2079,2080,M16939,299.3,309.3,1523,37.9,204,No Failure
2080,2081,L49260,299.3,309.2,2280,15.4,207,No Failure
2081,2082,M16941,299.4,309.3,1485,47.1,209,No Failure
2082,2083,H31496,299.4,309.2,1513,36.1,212,No Failure
2083,2084,H31497,299.4,309.3,1743,28.2,0,No Failure
2084,2085,L49264,299.5,309.3,1442,46.2,5,No Failure
2085,2086,L49265,299.5,309.3,1462,46.7,7,No Failure
2086,2087,H31500,299.4,309.3,1439,49.7,9,No Failure
2087,2088,L49267,299.5,309.3,1577,36.6,14,No Failure
2088,2089,L49268,299.6,309.4,1331,46.4,16,No Failure
2089,2090,L49269,299.5,309.3,1941,22.5,18,No Failure
2090,2091,L49270,299.5,309.2,1393,47.3,20,No Failure
2091,2092,L49271,299.4,309.2,1433,42.1,22,No Failure
2092,2093,L49272,299.4,309.2,1444,48.2,24,No Failure
2093,2094,L49273,299.4,309.2,1564,39.0,26,No Failure
2094,2095,L49274,299.4,309.3,1377,43.6,28,No Failure
2095,2096,L49275,299.4,309.3,1525,41.5,30,No Failure
2096,2097,M16956,299.5,309.4,1387,56.2,32,No Failure
2097,2098,M16957,299.4,309.4,1326,47.5,35,No Failure
2098,2099,L49278,299.4,309.3,1401,59.0,38,No Failure
2099,2100,L49279,299.4,309.3,1596,31.8,40,No Failure
2100,2101,M16960,299.3,309.3,1471,46.0,42,No Failure
2101,2102,L49281,299.3,309.3,1528,37.8,45,No Failure
2102,2103,L49282,299.3,309.3,1325,62.0,47,No Failure
2103,2104,M16963,299.3,309.1,1376,46.7,49,No Failure
2104,2105,M16964,299.3,309.1,1600,35.3,52,No Failure
2105,2106,L49285,299.3,309.1,1495,44.0,55,No Failure
2106,2107,L49286,299.4,309.1,1645,28.6,57,No Failure
2107,2108,M16967,299.4,309.1,1417,47.3,59,No Failure
2108,2109,H31522,299.4,309.0,1415,51.7,62,No Failure
2109,2110,M16969,299.3,309.0,1496,43.4,67,No Failure
2110,2111,H31524,299.3,309.0,1508,35.0,70,No Failure
2111,2112,L49291,299.4,309.0,1436,47.9,75,No Failure
2112,2113,L49292,299.5,309.1,1852,22.6,77,No Failure
2113,2114,L49293,299.5,309.1,1863,22.5,79,No Failure
2114,2115,H31528,299.4,309.1,1373,44.1,81,No Failure
